grape_code,grape,sinonimi
490,BELLAGNA,UVA CAGNA
491,BRAGAT ROSA,
492,CABRUSINA,
493,CAPRETTONE,
494,MANTONICO BIANCO,
495,MUSCARIS,
496,SOUVIGNIER GRIS,
497,FLEURTAI,UD-34.111
498,JULIUS,UD-36.030
499,MONTANERA,
500,SORELI,UD-34.113
831,ALVAREGA,
832,ARGU MANNU,
833,BIAN VER,VERDESSE
834,BIANCA REMUNGIA,
835,BLATTERLE,
836,CODRONISCA,
837,CRANACCIA ARUSSA,
838,CUCCUAU,
839,FIUDEDDA,
840,CABERNET EIDOS,UD-58.083
841,CABERNET VOLOS,UD-32.078
842,MERLOT KANTHUS,UD-31.122
843,MERLOT KHORUS,UD-31.125
844,SAUVIGNON KRETOS,UD-76.026
845,SAUVIGNON NEPIS,UD-55.098
846,SAUVIGNON RYTOS,UD-55.100
847,GRAND NOIR,
848,MOURVEDRE,Monastrell
849,ALBANA ROSA Rs.,
850,FESTASIO,
851,LAMBRUSCO DEL PELLEGRINO,
852,MERERA,
853,PASSERETTA,
854,MORELLONE,
855,NEGRONE,
856,MALVASIA CASALINI,
857,MOSCATO D AMBURGO,
858,NOCCHIANELLO BIANCO,
859,NOCCHIANELLO NERO,
860,TINTORIA,
861,FRAUELER,
862,FURNER,
863,GRALIMA,
864,GREGU NIEDDU,
865,INZOLIA NERA,
866,LICRONAXU,
867,LISEIRET,
868,LUCIGNOLA,
869,MARA BIANCA,
870,MEDRULINU,
871,NERA DEL PONTE,
872,NIEDDA CARTA,
873,ORISI,
874,RECUNU,
875,SALUDA E PASSA,
876,SELEZIONE VEDELE,
877,USIRIOTO,
878,VERSOALEN,
879,VITRAROLO,
880,ANIGA BRAGIA,
881,BIANCA ADDOSA,
882,COLATAMURRO,
883,DORONADU,
884,ELMO,
885,FURCINA,
886,GIOSANA,
887,LICRONAXU ROSA Rs.,
889,MOSCIANELLO,
890,NIGHEDDU POLCHINU,
891,NURAGUS ARRUBIU Rs.,
892,PANSALE,
893,PLAVINA,
894,POLOSKEI MUSKOTALY,
895,PROCU NIEDDU,
896,RONDINELLA Rs.,
897,ROSONADU Rs.,
898,SANTA SOFIA,
899,SCHIOPPETTA,
900,SGRANARELLA,
901,SINNIDANU,
902,CIGLIOLA BIANCA,UVA ATTINA
903,SANTA TERESA,
904,BIONDELLO,
905,CARRIERI,
906,BRETTIO NERO,
907,KERSUS,
908,PINOT ISKRA,
909,VOLTURNIS,
910,PINOT KORS,
911,PINOT REGINA,
912,MATURANO NERO,
913,UVA GIULIA,
914,RECALDINA,
915,PECOLO SCURO,
916,CABERNET BLANC,
917,CABERTIN,
918,PINOTIN,
919,TERMANTIS,F22P09
920,NERMANTIS,F22P10
921,CHARVIR,F23P65
922,VALNOSIA,F26P92
923,GRECARESE,
924,LAGARIO,
925,MORETTO GROSSO,
926,NEGRELLONE,
927,PALMA,
928,RANCHELLA,
929,RASPATO NERO,
930,REALE BIANCA,
931,SEVAR,
932,SORANTONIO,
933,PERLA DI CSABA,
934,MAGLIOCCO DOLCE,MARSIGLIANA
936,BENEDINA,
937,BIGOLONA,
938,CAMAIOLA,
939,MATTARELLA,
940,RABOSA BIANCA,
941,GHIANDARA,GHIANNARA
942,GNOCA,
943,ZIMELLONE BIANCO,SIROCCHIA
951,CAVECIA,
952,RUSSIOLA,
954,CODA DI PECORA BIANCA,
955,ROSSELLA,
956,ROUSSI,
967,ALFROCHEIRO,
968,ARINTO,
969,ASSYRTIKO,
970,BASTARDO,
971,CASTELAO,
972,FERNAO  PIRES,
973,GODELLO,
974,LOUREIRO,
975,MACABEO,
976,MOSCHOMAVRO,
